"outer_fold","class","params","mean_kappa","mean_acc"
0,0,"{'C': 100, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.631401153747446,0.929987976195912
0,1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.59670060046358,0.95645708719541
0,2,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.905098485496889,0.989524070438184
0,3,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.938221952156198,0.985668843127407
0,4,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.880254942142874,0.96141576488136
0,5,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.543832647578817,0.973540021003607
0,6,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.965877378122385,0.998898071625344
0,7,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.964209782879644,0.991734015189565
0,8,"{'C': 100, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.819390899712597,0.977399814315937
0,9,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.862441667147076,0.991732493189048
0,10,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.76689550864752,0.992834421563703
0,11,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.413615826629278,0.990630564814392
0,12,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.567023466946078,0.980705599439904
0,13,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.814828832211128,0.991734015189565
