"outer_fold","class","params","mean_kappa","mean_acc"
"100LUMC",0,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.264206346287186,0.911076010431554
"100LUMC",1,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.26458187718993,0.913752796871649
"100LUMC",2,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.848986464922904,0.98739569110323
"100LUMC",3,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.931646161783503,0.984988676010117
"100LUMC",4,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.889067659474776,0.953220646415503
"100LUMC",5,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.384262699782064,0.951447205971107
"100LUMC",6,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.976769506288412,0.999014454664915
"100LUMC",7,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.928791874991894,0.99009562554471
"100LUMC",8,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.64859123132396,0.958329367877156
"100LUMC",9,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.893766287782782,0.984086860224373
"100LUMC",10,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.539768314869562,0.989276580899768
"100LUMC",11,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.214535994437292,0.985648687261487
"100LUMC",12,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.283280257865711,0.970115948386673
"100LUMC",13,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.774179945344689,0.991329538000589
"100LUMC",14,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.674975057488317,0.989140165816873
"AAML03P1",0,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.200972386740176,0.905525476501467
"AAML03P1",1,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.339674597194478,0.91817600763373
"AAML03P1",2,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.825376692680834,0.985594238747656
"AAML03P1",3,"{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.931646161783503,0.984988676010117
"AAML03P1",4,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.883621877130499,0.951590650171865
"AAML03P1",5,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.35393300412861,0.949985125784251
"AAML03P1",6,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.734040768391913,0.996330921583839
"AAML03P1",7,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.933584296109975,0.991833953911391
"AAML03P1",8,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.701340938971056,0.973517957752472
"AAML03P1",9,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.893766287782782,0.984086860224373
"AAML03P1",10,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.723057167632062,0.992716122536469
"AAML03P1",11,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.434877482760219,0.991353242391329
"AAML03P1",12,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.347616435926587,0.975799624266881
"AAML03P1",13,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.794159394088696,0.993487425896894
"AAML03P1",14,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.601046184488617,0.98459041615264
"AAML0531",0,"{'C': 1000, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.152391105224294,0.892402861692959
"AAML0531",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.390146247045765,0.907749861855241
"AAML0531",2,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.788471208716794,0.980671033991604
"AAML0531",3,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.926730081233989,0.98399390036538
"AAML0531",4,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.887221254963888,0.953473916635716
"AAML0531",5,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.433824549745831,0.938991743919747
"AAML0531",6,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.742256502096137,0.996659436695534
"AAML0531",7,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.933116682985332,0.991372764752884
"AAML0531",8,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.557152367040545,0.960068250008008
"AAML0531",9,"{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.915013030226225,0.987269488179498
"AAML0531",10,"{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.472940344505399,0.9903054622517
"AAML0531",11,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.29466156046694,0.987406997295659
"AAML0531",12,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.184209328769124,0.980711594293789
"AAML0531",13,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.811650419298457,0.994308084336837
"AAML0531",14,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.514957297216222,0.985646415650924
"AAML1031",0,"{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.133161362941289,0.930633601910215
"AAML1031",1,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.454673784268911,0.902319289799461
"AAML1031",2,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.798040954444195,0.982198368795303
"AAML1031",3,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.937012447728839,0.986102187001737
"AAML1031",4,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.876809372732353,0.950260974439506
"AAML1031",5,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.376656521147388,0.952319617453145
"AAML1031",6,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.75,0.996987951807229
"AAML1031",7,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.929522509223913,0.990333096238477
"AAML1031",8,"{'C': 1000, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.584896066071762,0.966851740900144
"AAML1031",9,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.915013030226225,0.987269488179498
"AAML1031",10,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.427856400921057,0.990291292220328
"AAML1031",11,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.345460855602899,0.990357152126732
"AAML1031",12,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.273026730098349,0.975639378738294
"AAML1031",13,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.76817547208921,0.991454303665252
"AAML1031",14,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.782486117882494,0.99132042161973
"BEATAML1.0-COHORT",0,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.323084096921738,0.891271067516766
"BEATAML1.0-COHORT",1,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.40782053427737,0.940840458554381
"BEATAML1.0-COHORT",2,"{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.931314062686631,0.994418893770136
"BEATAML1.0-COHORT",3,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.992346941031051,0.998147644676713
"BEATAML1.0-COHORT",4,"{'C': 1000, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.972257834330325,0.991856164881623
"BEATAML1.0-COHORT",5,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.344958279923826,0.971594282442495
"BEATAML1.0-COHORT",6,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.79380520167691,0.997327549356427
"BEATAML1.0-COHORT",7,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.98734710488673,0.995889482052828
"BEATAML1.0-COHORT",8,"{'C': 100, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.713522574918802,0.973595507845021
"BEATAML1.0-COHORT",9,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.990289069557362,0.998062015503876
"BEATAML1.0-COHORT",10,"{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.643656501536894,0.989496039456316
"BEATAML1.0-COHORT",11,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.355479193855446,0.988040572717905
"BEATAML1.0-COHORT",12,"{'C': 100, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.289264127864921,0.973571618273215
"BEATAML1.0-COHORT",13,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.848383925327852,0.992882333031645
"BEATAML1.0-COHORT",14,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.734898617837297,0.986757159271595
"LEUCEGENE",0,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.275896859934591,0.899045229051516
"LEUCEGENE",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.245387685589949,0.92944171730204
