"outer_fold","class","params","mean_kappa","mean_acc"
"AAML0531",0,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.110078881943056,0.90614193556982
"AAML0531",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.408277256166605,0.87957964970809
"AAML0531",2,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.734034608215697,0.977058487158803
"AAML0531",3,"{'C': 0.1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.890397574986917,0.976473230985188
"AAML0531",4,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.758015074147704,0.996604956982157
"AAML0531",5,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.825012132106739,0.929622715756194
"AAML0531",6,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.492767182413367,0.935557038272634
"AAML0531",7,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.724589025237323,0.992433795712484
"AAML0531",8,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.906423714682505,0.989698662995399
"AAML0531",9,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 5000}",0.553335927944665,0.958862161651453
"AAML0531",10,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.858534621875313,0.979126123621537
"AAML0531",14,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.55510064824292,0.997299253277596
"AAML0531",15,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.707886418786377,0.993887170231884
"AAML0531",16,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0.986352987631676
"AAML0531",17,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.263770261965813,0.983913172529581
"AAML0531",18,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 2000}",0.722714460143822,0.992659897504611
"AAML0531",20,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.461571273554925,0.989045066979944
"AAML0531",21,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0.993690053116283
"AAML0531",22,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0.992796294796596
"AAML1031",0,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.0679885801391982,0.939717721734145
"AAML1031",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.390825482738008,0.903309158034689
"AAML1031",2,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.708801432215694,0.976569326626535
"AAML1031",3,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.905802520949322,0.97959151336534
"AAML1031",4,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.84166486317724,0.997235474006116
"AAML1031",5,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.805836559708439,0.925469049481361
"AAML1031",6,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.360973439926452,0.948842217391868
"AAML1031",7,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.857157961514062,0.993955094991364
"AAML1031",8,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.906348884648572,0.989863098350525
"AAML1031",9,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.633525000931799,0.974305271664211
"AAML1031",10,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.858534621875313,0.979126123621537
"AAML1031",14,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.916123424598001,0.998848589522165
"AAML1031",15,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.665337352764715,0.992290187130611
"AAML1031",16,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.132779124812377,0.992192076202439
"AAML1031",17,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.363353163218466,0.98005893728366
"AAML1031",18,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.714854948613069,0.991691584524236
"AAML1031",20,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.751136921211687,0.989601654228265
"AAML1031",21,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.5,0.994818652849741
"AAML1031",22,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0,0.995016716578726
"BEATAML1.0-COHORT",0,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.293647633231967,0.881093386807988
"BEATAML1.0-COHORT",1,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.376640863881415,0.912344795101272
"BEATAML1.0-COHORT",2,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.903443667285907,0.992051379663118
"BEATAML1.0-COHORT",3,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.990051220427184,0.997676669998933
"BEATAML1.0-COHORT",4,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.62316872026764,0.994808876915434
"BEATAML1.0-COHORT",5,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.953115098040199,0.987159372112358
"BEATAML1.0-COHORT",6,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.443203676524042,0.964656827340765
"BEATAML1.0-COHORT",7,"{'C': 100, 'class_weight': 'balanced', 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.978739376390788,0.99915931063472
"BEATAML1.0-COHORT",8,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.988939835071786,0.996895329818119
"BEATAML1.0-COHORT",9,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.771219378911793,0.977330600894901
"BEATAML1.0-COHORT",10,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.980633802816901,0.996212121212121
"BEATAML1.0-COHORT",12,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.795368075171708,0.995983857021825
"BEATAML1.0-COHORT",13,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.944131323094265,0.99936948297604
"BEATAML1.0-COHORT",14,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.885652972065376,0.998583605395803
"BEATAML1.0-COHORT",15,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.84511410196378,0.995049846781096
"BEATAML1.0-COHORT",16,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.241576170514174,0.989136070602859
"BEATAML1.0-COHORT",17,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.42094628460933,0.980536641661801
"BEATAML1.0-COHORT",18,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.777473576525237,0.991732284887173
"BEATAML1.0-COHORT",20,"{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.680625746878602,0.985456727366181
