"outer_fold","class","params","mean_kappa","sd_kappa","mean_mcc","sd_mcc","mean_accuracy","sd_accuracy"
"AAML0531",0,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.092858314469453,0.145283808203043,0.127447033574073,0.162124361446009,0.905532518219937,0.0788733023239303
"AAML0531",1,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.443965410703892,0.0946652406244373,0.473754182042857,0.11624345294886,0.877388442403368,0.017395951765222
"AAML0531",2,"{'C': 100, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.763556486448485,0.147924331453459,0.778388646611461,0.130740130029208,0.978380790445765,0.013086847376882
"AAML0531",3,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.901789442790894,0.145613027522435,0.906373261011972,0.138035242450396,0.97697533444816,0.0345520011520828
"AAML0531",4,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.577223095433701,0.0833900036475454,0.637301600419967,0.0649315355864081,0.994827076989634,0.00332383455118596
"AAML0531",5,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.827954067779756,0.217497038675675,0.830006524349949,0.21548939429353,0.929906710178206,0.102714185321975
"AAML0531",6,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.524644680189771,0.181888720506638,0.555697179847033,0.179190660067514,0.9409598163031,0.0258816350869496
"AAML0531",7,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.757952642908395,0.342306655135511,0.794797763208249,0.29019978630019,0.992527173913043,0.0105681720014295
"AAML0531",8,"{'C': 0.1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.905527272324744,0.169350565238427,0.91637602445506,0.147747306131186,0.989929974916388,0.0145095437704344
"AAML0531",9,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.644230512873187,0.238621372483513,0.658105121729306,0.238443625898194,0.963062646633056,0.0354014957626494
"AAML0531",10,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.821428571428571,0.252538136138053,0.844123600805843,0.22044251779426,0.975,0.0353553390593274
"AAML0531",14,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.666666666666667,0.577350269189626,0.666666666666667,0.577350269189626,0.998641304347826,0.00235332990158808
"AAML0531",15,"{'C': 100, 'class_weight': 'balanced', 'gamma': 1e-05, 'probability': True, 'n_genes': 2000}",0.620500827301253,0.435895395148002,0.633750286539194,0.440343774761184,0.994613263115859,0.00483604449732592
"AAML0531",16,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.121321301503501,0.157202695495124,0.153960721521865,0.209871469654561,0.983413754804572,0.00845380870806293
"AAML0531",17,"{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.549904686650431,0.39326033018948,0.566488071715932,0.400017691118022,0.989953355089103,0.00617223822868266
"AAML0531",19,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 5000}",0.232714649781612,0.272522949400938,0.274975806914095,0.321096114931143,0.986193134453152,0.0060385470799535
"AAML0531",20,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0,0,0,0,0.992642140468227,0.00496630180766476
"AAML1031",0,"{'C': 1000, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.0834116487864218,0.171502346673487,0.0935901674398381,0.195103295963906,0.931485531259785,0.029580907931827
"AAML1031",1,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.428140806818003,0.127273478463603,0.456787366467365,0.142479824495793,0.904460733917823,0.0422593911736461
