"fold","class","weight_name","svm_weight","xgb_weight","nn_weight","f1_score"
"AAML0531","AML.with.MDS.related.cytogenetic.abnormalities","ALL",1,1,1,NA
"AAML0531","AML.with.MDS.related.gene.mutations","ALL",1,1,1,0.599348534201954
"AAML0531","AML.with.in.frame.bZIP.CEBPA","W2",1,0,0,0.840909090909091
"AAML0531","AML.with.inv.16..t.16.16..CBFB..MYH11","W2",1,0,0,0.901960784313726
"AAML0531","AML.with.inv.3..t.3.3..GATA2.MECOM","W2",1,0,0,NA
"AAML0531","AML.with.mutated.NPM1","W72",0.6,0,0.4,0.875675675675676
"AAML0531","AML.with.mutated.TP53","ALL",1,1,1,NA
"AAML0531","AML.with.t.6.9..DEK..NUP214","ALL",1,1,1,NA
"AAML0531","AML.with.t.8.21..RUNX1..RUNX1T1","W1",0.9,0,0,0.952380952380952
"AAML0531","AML.with.t.9.11..MLLT3..KMT2A","ALL",1,1,1,0.642570281124498
"AAML0531","APL..t.15.17..PML..RARA","W1",0.9,0,0,0.861313868613139
"AAML0531","CBFA2T3..GLIS2","ALL",1,1,1,NA
"AAML0531","ETV6..MNX1","ALL",1,1,1,NA
"AAML0531","FUS..ERG","ALL",1,1,1,NA
"AAML0531","KAT6A..CREBBP","W2",1,0,0,NA
"AAML0531","KMT2A..ELL","W1",0.9,0,0,0.666666666666667
"AAML0531","KMT2A..MLLT1","ALL",1,1,1,NA
"AAML0531","KMT2A..MLLT10","W3",0.8,0.1,0,NA
"AAML0531","KMT2A..MLLT4....AFDN.","W39",0.1,0.8,0.1,0.754716981132076
"AAML0531","NUP98..KDM5A","ALL",1,1,1,NA
"AAML0531","NUP98..NSD1","W2",1,0,0,0.466666666666667
"AAML0531","PICALM..MLLT10","ALL",1,1,1,NA
"AAML0531","RBM15..MRTF1","ALL",1,1,1,NA
"AAML1031","AML.with.MDS.related.cytogenetic.abnormalities","ALL",1,1,1,NA
"AAML1031","AML.with.MDS.related.gene.mutations","W47",0.5,0.3,0.2,0.528455284552846
"AAML1031","AML.with.in.frame.bZIP.CEBPA","ALL",1,1,1,0.802919708029197
"AAML1031","AML.with.inv.16..t.16.16..CBFB..MYH11","W2",1,0,0,0.91812865497076
"AAML1031","AML.with.inv.3..t.3.3..GATA2.MECOM","W1",0.9,0,0,NA
"AAML1031","AML.with.mutated.NPM1","W72",0.6,0,0.4,0.870229007633588
"AAML1031","AML.with.mutated.TP53","ALL",1,1,1,0.483091787439614
"AAML1031","AML.with.t.6.9..DEK..NUP214","ALL",1,1,1,NA
"AAML1031","AML.with.t.8.21..RUNX1..RUNX1T1","W1",0.9,0,0,0.944237918215613
"AAML1031","AML.with.t.9.11..MLLT3..KMT2A","W2",1,0,0,0.6
"AAML1031","APL..t.15.17..PML..RARA","W14",0.4,0.6,0,0.861313868613139
"AAML1031","CBFA2T3..GLIS2","ALL",1,1,1,NA
"AAML1031","ETV6..MNX1","ALL",1,1,1,NA
"AAML1031","FUS..ERG","ALL",1,1,1,NA
"AAML1031","KAT6A..CREBBP","ALL",1,1,1,0.857142857142857
"AAML1031","KMT2A..ELL","ALL",1,1,1,0.652173913043478
"AAML1031","KMT2A..MLLT1","ALL",1,1,1,NA
"AAML1031","KMT2A..MLLT10","ALL",1,1,1,0.607843137254902
"AAML1031","KMT2A..MLLT4....AFDN.","W94",0,0.5,0.5,0.792452830188679
"AAML1031","NUP98..KDM5A","ALL",1,1,1,NA
"AAML1031","NUP98..NSD1","W115",0,0.2,0.8,0.794871794871795
"AAML1031","PICALM..MLLT10","ALL",1,1,1,NA
"AAML1031","RBM15..MRTF1","ALL",1,1,1,NA
"BEATAML1.0-COHORT","AML.with.MDS.related.cytogenetic.abnormalities","W10",0.6,0.4,0,NA
"BEATAML1.0-COHORT","AML.with.MDS.related.gene.mutations","ALL",1,1,1,0.614814814814815
"BEATAML1.0-COHORT","AML.with.in.frame.bZIP.CEBPA","W2",1,0,0,0.961038961038961
"BEATAML1.0-COHORT","AML.with.inv.16..t.16.16..CBFB..MYH11","W1",0.9,0,0,0.98728813559322
"BEATAML1.0-COHORT","AML.with.inv.3..t.3.3..GATA2.MECOM","W73",0.4,0.1,0.4,NA
"BEATAML1.0-COHORT","AML.with.mutated.NPM1","W14",0.4,0.6,0,0.972447325769854
"BEATAML1.0-COHORT","AML.with.mutated.TP53","W96",0.4,0,0.6,0.681318681318681
"BEATAML1.0-COHORT","AML.with.t.6.9..DEK..NUP214","W2",1,0,0,0.956521739130435
"BEATAML1.0-COHORT","AML.with.t.8.21..RUNX1..RUNX1T1","W17",0.1,0.8,0,0.986767485822306
"BEATAML1.0-COHORT","AML.with.t.9.11..MLLT3..KMT2A","W14",0.4,0.6,0,0.766129032258065
"BEATAML1.0-COHORT","APL..t.15.17..PML..RARA","W2",1,0,0,0.988505747126437
"BEATAML1.0-COHORT","CBFA2T3..GLIS2","ALL",1,1,1,NA
"BEATAML1.0-COHORT","ETV6..MNX1","W74",0.5,0.1,0.4,0.814814814814815
"BEATAML1.0-COHORT","FUS..ERG","W1",0.9,0,0,0.947368421052632
"BEATAML1.0-COHORT","KAT6A..CREBBP","W5",0.7,0.2,0,0.8
"BEATAML1.0-COHORT","KMT2A..ELL","W3",0.8,0.1,0,0.828571428571429
"BEATAML1.0-COHORT","KMT2A..MLLT1","W1",0.9,0,0,NA
"BEATAML1.0-COHORT","KMT2A..MLLT10","W117",0.1,0,0.9,0.556962025316456
"BEATAML1.0-COHORT","KMT2A..MLLT4....AFDN.","W69",0.1,0.6,0.3,0.82051282051282
"BEATAML1.0-COHORT","NUP98..KDM5A","ALL",1,1,1,NA
"BEATAML1.0-COHORT","NUP98..NSD1","W117",0.1,0,0.9,0.630434782608696
"BEATAML1.0-COHORT","PICALM..MLLT10","W101",0,0.3,0.6,0.736842105263158
"BEATAML1.0-COHORT","RBM15..MRTF1","W42",0.8,0,0.2,0.7
"LEUCEGENE","AML.with.MDS.related.cytogenetic.abnormalities","W21",0,1,0,0.494758909853249
"LEUCEGENE","AML.with.MDS.related.gene.mutations","ALL",1,1,1,0.376811594202899
"LEUCEGENE","AML.with.in.frame.bZIP.CEBPA","W35",0.3,0.6,0.1,0.923728813559322
"LEUCEGENE","AML.with.inv.16..t.16.16..CBFB..MYH11","W1",0.9,0,0,0.928716904276986
"LEUCEGENE","AML.with.inv.3..t.3.3..GATA2.MECOM","W57",0.7,0,0.3,NA
"LEUCEGENE","AML.with.mutated.NPM1","W6",0.8,0.2,0,0.855241264559068
"LEUCEGENE","AML.with.mutated.TP53","ALL",1,1,1,0.415584415584416
"LEUCEGENE","AML.with.t.6.9..DEK..NUP214","W2",1,0,0,0.953846153846154
"LEUCEGENE","AML.with.t.8.21..RUNX1..RUNX1T1","W1",0.9,0,0,0.962121212121212
"LEUCEGENE","AML.with.t.9.11..MLLT3..KMT2A","ALL",1,1,1,0.787692307692308
"LEUCEGENE","APL..t.15.17..PML..RARA","W1",0.9,0,0,0.759493670886076
"LEUCEGENE","CBFA2T3..GLIS2","ALL",1,1,1,NA
"LEUCEGENE","ETV6..MNX1","ALL",1,1,1,NA
"LEUCEGENE","FUS..ERG","W2",1,0,0,0.947368421052632
"LEUCEGENE","KAT6A..CREBBP","W1",0.9,0,0,NA
"LEUCEGENE","KMT2A..ELL","W71",0.5,0,0.4,0.823529411764706
"LEUCEGENE","KMT2A..MLLT1","ALL",1,1,1,NA
"LEUCEGENE","KMT2A..MLLT10","W117",0.1,0,0.9,0.555555555555555
"LEUCEGENE","KMT2A..MLLT4....AFDN.","W2",1,0,0,0.8
"LEUCEGENE","NUP98..KDM5A","ALL",1,1,1,NA
"LEUCEGENE","NUP98..NSD1","W119",0,0,1,0.452380952380952
"LEUCEGENE","PICALM..MLLT10","ALL",1,1,1,NA
"LEUCEGENE","RBM15..MRTF1","W1",0.9,0,0,NA
"TCGA-LAML","AML.with.MDS.related.cytogenetic.abnormalities","W16",0.3,0.7,0,0.518987341772152
"TCGA-LAML","AML.with.MDS.related.gene.mutations","ALL",1,1,1,0.515723270440252
"TCGA-LAML","AML.with.in.frame.bZIP.CEBPA","W72",0.6,0,0.4,0.915966386554622
"TCGA-LAML","AML.with.inv.16..t.16.16..CBFB..MYH11","W14",0.4,0.6,0,0.933586337760911
"TCGA-LAML","AML.with.inv.3..t.3.3..GATA2.MECOM","W88",0.2,0.2,0.5,0.769230769230769
"TCGA-LAML","AML.with.mutated.NPM1","W2",1,0,0,0.89405684754522
"TCGA-LAML","AML.with.mutated.TP53","ALL",1,1,1,0.488636363636364
"TCGA-LAML","AML.with.t.6.9..DEK..NUP214","W94",0,0.5,0.5,0.985507246376812
"TCGA-LAML","AML.with.t.8.21..RUNX1..RUNX1T1","W73",0.4,0.1,0.4,0.963636363636364
"TCGA-LAML","AML.with.t.9.11..MLLT3..KMT2A","W85",0.5,0,0.5,0.787003610108303
"TCGA-LAML","APL..t.15.17..PML..RARA","W2",1,0,0,0.833333333333333
"TCGA-LAML","CBFA2T3..GLIS2","ALL",1,1,1,NA
"TCGA-LAML","ETV6..MNX1","ALL",1,1,1,NA
"TCGA-LAML","FUS..ERG","W1",0.9,0,0,0.947368421052632
"TCGA-LAML","KAT6A..CREBBP","W22",0.8,0,0.1,NA
"TCGA-LAML","KMT2A..ELL","W57",0.7,0,0.3,0.8
"TCGA-LAML","KMT2A..MLLT1","ALL",1,1,1,NA
"TCGA-LAML","KMT2A..MLLT10","W103",0,0.4,0.6,0.59375
"TCGA-LAML","KMT2A..MLLT4....AFDN.","ALL",1,1,1,0.795918367346939
"TCGA-LAML","NUP98..KDM5A","ALL",1,1,1,NA
"TCGA-LAML","NUP98..NSD1","W118",0,0.1,0.9,0.505747126436782
"TCGA-LAML","PICALM..MLLT10","W95",0.3,0,0.6,0.625
"TCGA-LAML","RBM15..MRTF1","W96",0.4,0,0.6,NA
