"model","type","fold","prob_cutoff","kappa","accuracy","n_accepted","n_rejected","perc_rejected","rejected_accuracy","total_samples"
"Global_Optimized","cv","0",0.322,0.843457738610829,0.865116279069767,430,12,0.0271493212669683,0.583333333333333,442
"Global_Optimized","cv","1",0.322,0.873421439060206,0.890951276102088,431,10,0.0226757369614512,0.4,441
"Global_Optimized","cv","2",0.322,0.852454435371193,0.872685185185185,432,9,0.0204081632653061,0.444444444444444,441
"Global_Optimized","cv","3",0.322,0.844161037760018,0.865116279069767,430,11,0.0249433106575964,0.363636363636364,441
"Global_Optimized","cv","4",0.322,0.866466178912878,0.884705882352941,425,16,0.036281179138322,0.5,441
"OvR_Ensemble","cv","0",0.368,0.852368676554287,0.872596153846154,416,26,0.0588235294117647,0.576923076923077,442
"OvR_Ensemble","cv","1",0.368,0.871592146553002,0.889150943396226,424,17,0.0385487528344671,0.470588235294118,441
"OvR_Ensemble","cv","2",0.368,0.850958866036687,0.871794871794872,429,12,0.0272108843537415,0.0833333333333333,441
"OvR_Ensemble","cv","3",0.368,0.839911847695238,0.86150234741784,426,15,0.0340136054421769,0.466666666666667,441
"OvR_Ensemble","cv","4",0.368,0.860050460385996,0.87914691943128,422,19,0.0430839002267574,0.631578947368421,441
"neural_net","cv","0",0.4,0.834647988740876,0.857482185273159,421,21,0.0475113122171946,0.523809523809524,442
"neural_net","cv","1",0.4,0.875461768129143,0.892523364485981,428,13,0.0294784580498866,0.307692307692308,441
"neural_net","cv","2",0.4,0.865862892422389,0.884160756501182,423,18,0.0408163265306122,0.333333333333333,441
"neural_net","cv","3",0.4,0.851756242342443,0.871121718377088,419,22,0.0498866213151927,0.409090909090909,441
"neural_net","cv","4",0.4,0.865153520554587,0.883333333333333,420,21,0.0476190476190476,0.666666666666667,441
"svm","cv","0",0.304,0.826554766516032,0.850230414746544,434,8,0.0180995475113122,0.375,442
"svm","cv","1",0.304,0.857918524021793,0.877598152424942,433,8,0.018140589569161,0.75,441
"svm","cv","2",0.304,0.844931250308018,0.866359447004608,434,7,0.0158730158730159,0.571428571428571,441
"svm","cv","3",0.304,0.81552620555405,0.841013824884793,434,7,0.0158730158730159,0.142857142857143,441
"svm","cv","4",0.304,0.860313915255289,0.879907621247113,433,8,0.018140589569161,0.375,441
"xgboost","cv","0",0.324,0.795987110961403,0.824766355140187,428,14,0.0316742081447964,0.428571428571429,442
"xgboost","cv","1",0.324,0.836378053237686,0.859122401847575,433,8,0.018140589569161,0.5,441
"xgboost","cv","2",0.324,0.822443958447239,0.847575057736721,433,8,0.018140589569161,0.375,441
"xgboost","cv","3",0.324,0.824314386106065,0.848837209302326,430,11,0.0249433106575964,0.363636363636364,441
"xgboost","cv","4",0.324,0.83519679441608,0.858823529411765,425,16,0.036281179138322,0.4375,441
