"model","type","fold","prob_cutoff","kappa","accuracy","n_accepted","n_rejected","perc_rejected","rejected_accuracy","total_samples"
"svm","cv","0",0,0.841795850280041,0.863945578231292,1764,0,0,NA,1764
"svm","cv","0",0.1,0.841795850280041,0.863945578231292,1764,0,0,NA,1764
"svm","cv","0",0.2,0.842289420810091,0.864358683314415,1762,2,0.00113378684807256,0.5,1764
"svm","cv","0",0.3,0.846149933686645,0.867511520737327,1736,28,0.0158730158730159,0.642857142857143,1764
"svm","cv","0",0.4,0.86145854652449,0.880382775119617,1672,92,0.0521541950113379,0.565217391304348,1764
"svm","cv","0",0.5,0.894620242182044,0.90903267136451,1561,203,0.115079365079365,0.517241379310345,1764
"svm","cv","0",0.6,0.918751358854715,0.93000693000693,1443,321,0.181972789115646,0.566978193146417,1764
"svm","cv","0",0.7,0.939723281735699,0.948575949367089,1264,500,0.283446712018141,0.65,1764
"svm","cv","0",0.8,0.947163342939208,0.956564659427443,1013,751,0.425736961451247,0.73901464713715,1764
"svm","cv","0",0.9,0.972683487887284,0.981578947368421,380,1384,0.784580498866213,0.831647398843931,1764
"svm","cv","1",0,0.833505155600132,0.856657223796034,1765,0,0,NA,1765
"svm","cv","1",0.1,0.833505155600132,0.856657223796034,1765,0,0,NA,1765
"svm","cv","1",0.2,0.834633616783541,0.857629041406693,1763,2,0.00113314447592068,0,1765
"svm","cv","1",0.3,0.846250834873643,0.867553499132447,1729,36,0.0203966005665722,0.333333333333333,1765
"svm","cv","1",0.4,0.860124691002591,0.879330943847073,1674,91,0.0515580736543909,0.43956043956044,1765
"svm","cv","1",0.5,0.879799394723821,0.896220371556694,1561,204,0.115580736543909,0.553921568627451,1765
"svm","cv","1",0.6,0.913457174675503,0.925509486999297,1423,342,0.193767705382436,0.570175438596491,1765
"svm","cv","1",0.7,0.925718632162263,0.936944219886823,1237,528,0.29915014164306,0.668560606060606,1765
"svm","cv","1",0.8,0.940453318738559,0.95131845841785,986,779,0.441359773371105,0.736842105263158,1765
"svm","cv","1",0.9,0.97875150060024,0.985875706214689,354,1411,0.79943342776204,0.824238128986534,1765
"svm","cv","2",0,0.841623290068435,0.863456090651558,1765,0,0,NA,1765
"svm","cv","2",0.1,0.841623290068435,0.863456090651558,1765,0,0,NA,1765
"svm","cv","2",0.2,0.841902555953567,0.863713798977853,1761,4,0.00226628895184136,0.75,1765
"svm","cv","2",0.3,0.852001485590929,0.872328134026574,1731,34,0.0192634560906516,0.411764705882353,1765
"svm","cv","2",0.4,0.868330214426097,0.886144578313253,1660,105,0.0594900849858357,0.504761904761905,1765
"svm","cv","2",0.5,0.898431611473825,0.912179487179487,1560,205,0.11614730878187,0.492682926829268,1765
"svm","cv","2",0.6,0.917151353320255,0.928571428571429,1442,323,0.18300283286119,0.572755417956656,1765
"svm","cv","2",0.7,0.930242555026815,0.940578577013292,1279,486,0.275354107648725,0.660493827160494,1765
"svm","cv","2",0.8,0.945315269960116,0.955329949238579,985,780,0.441926345609065,0.747435897435897,1765
"svm","cv","2",0.9,0.960681801137764,0.97275204359673,367,1398,0.792067988668555,0.834763948497854,1765
"svm","cv","3",0,0.840627356514063,0.862889518413598,1765,0,0,NA,1765
"svm","cv","3",0.1,0.840627356514063,0.862889518413598,1765,0,0,NA,1765
"svm","cv","3",0.2,0.84121071952023,0.863378684807256,1764,1,0.00056657223796034,0,1765
"svm","cv","3",0.3,0.851782154625814,0.872328134026574,1731,34,0.0192634560906516,0.382352941176471,1765
"svm","cv","3",0.4,0.866931347097103,0.885167464114832,1672,93,0.0526912181303116,0.462365591397849,1765
"svm","cv","3",0.5,0.887959747714549,0.903225806451613,1581,184,0.104249291784703,0.516304347826087,1765
"svm","cv","3",0.6,0.90571358556336,0.91867677463818,1451,314,0.177903682719547,0.605095541401274,1765
"svm","cv","3",0.7,0.938746650023863,0.947784810126582,1264,501,0.28385269121813,0.648702594810379,1765
"svm","cv","3",0.8,0.951108378481279,0.959677419354839,992,773,0.437960339943343,0.738680465717982,1765
"svm","cv","3",0.9,0.965042773216065,0.975429975429975,407,1358,0.769405099150142,0.829160530191458,1765
"svm","cv","4",0,0.825797890170267,0.84985835694051,1765,0,0,NA,1765
"svm","cv","4",0.1,0.825797890170267,0.84985835694051,1765,0,0,NA,1765
"svm","cv","4",0.2,0.82797676847529,0.851704545454545,1760,5,0.0028328611898017,0.2,1765
