"model","type","fold","prob_cutoff","kappa","accuracy","n_accepted","n_rejected","perc_rejected","rejected_accuracy","total_samples"
"Global_Optimized","cv","0",0.43,0.863785736318198,0.882972498537156,1709,55,0.0311791383219955,0.490909090909091,1764
"Global_Optimized","cv","1",0.46,0.864574801705965,0.882941176470588,1700,65,0.0368271954674221,0.492307692307692,1765
"Global_Optimized","cv","2",0.4,0.865020333299295,0.883343006384214,1723,42,0.0237960339943343,0.452380952380952,1765
"Global_Optimized","cv","3",0.47,0.873429151930168,0.890606420927467,1682,83,0.0470254957507082,0.433734939759036,1765
"Global_Optimized","cv","4",0.46,0.863223095296013,0.881828978622328,1684,81,0.0458923512747875,0.444444444444444,1765
"OvR_Ensemble","cv","0",0.46,0.842561367863136,0.866039952996475,1702,62,0.0351473922902494,0.483870967741935,1764
"OvR_Ensemble","cv","1",0.42,0.84191587550062,0.864583333333333,1728,37,0.0209631728045326,0.486486486486487,1765
"OvR_Ensemble","cv","2",0.49,0.865522752200604,0.885050625372245,1679,86,0.0487252124645892,0.406976744186047,1765
"OvR_Ensemble","cv","3",0.39,0.837327775056855,0.861047835990888,1756,9,0.00509915014164306,0.333333333333333,1765
"OvR_Ensemble","cv","4",0.49,0.840874613696793,0.864447086801427,1682,83,0.0470254957507082,0.493975903614458,1765
"neural_net","cv","0",0.48,0.868174582486996,0.886579572446556,1684,80,0.0453514739229025,0.425,1764
"neural_net","cv","1",0.46,0.861994112391148,0.880517951736316,1699,66,0.0373937677053824,0.484848484848485,1765
"neural_net","cv","2",0.48,0.866515877923445,0.884386174016687,1678,87,0.0492917847025496,0.390804597701149,1765
"neural_net","cv","3",0.49,0.873779088418922,0.89087656529517,1677,88,0.0498583569405099,0.397727272727273,1765
"neural_net","cv","4",0.44,0.857490536865144,0.876785714285714,1680,85,0.0481586402266289,0.423529411764706,1765
"svm","cv","0",0.48,0.870587755801067,0.888756692444973,1681,83,0.0470521541950113,0.36144578313253,1764
"svm","cv","1",0.47,0.859007710592871,0.87871581450654,1682,83,0.0470254957507082,0.481927710843373,1765
"svm","cv","2",0.45,0.872459889105173,0.89007724301842,1683,82,0.0464589235127479,0.365853658536585,1765
"svm","cv","3",0.44,0.859847072649556,0.879511059371362,1718,47,0.026628895184136,0.48936170212766,1765
"svm","cv","4",0.47,0.857323406585351,0.877005347593583,1683,82,0.0464589235127479,0.426829268292683,1765
"xgboost","cv","0",0.45,0.841984181431983,0.864366448542534,1681,83,0.0470521541950113,0.409638554216867,1764
"xgboost","cv","1",0.44,0.832499813757698,0.855700712589074,1684,81,0.0458923512747875,0.444444444444444,1765
"xgboost","cv","2",0.46,0.84984642292978,0.870756402620607,1679,86,0.0487252124645892,0.430232558139535,1765
"xgboost","cv","3",0.44,0.843252373349435,0.865521327014218,1688,77,0.0436260623229462,0.441558441558442,1765
"xgboost","cv","4",0.46,0.845212893785632,0.867062314540059,1685,80,0.0453257790368272,0.4,1765
