"model","type","fold","prob_cutoff","kappa","accuracy","n_accepted","n_rejected","perc_rejected","rejected_accuracy","total_samples"
"svm","loso","AAML0531",0,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.01,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.02,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.03,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.04,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.05,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.06,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.07,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.08,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.09,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.1,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.11,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.12,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.13,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.14,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.15,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.16,0.656678157791422,0.713583282114321,1627,0,0,NA,1627
"svm","loso","AAML0531",0.17,0.656490189980442,0.713407134071341,1626,1,0.000614628149969269,1,1627
"svm","loso","AAML0531",0.18,0.657497492146909,0.714285714285714,1624,3,0.00184388444990781,0.333333333333333,1627
"svm","loso","AAML0531",0.19,0.657985944384695,0.714725816389402,1623,4,0.00245851259987707,0.25,1627
"svm","loso","AAML0531",0.2,0.658856698069769,0.715432098765432,1620,7,0.00430239704978488,0.285714285714286,1627
"svm","loso","AAML0531",0.21,0.659361342539124,0.715873996294009,1619,8,0.00491702519975415,0.25,1627
"svm","loso","AAML0531",0.22,0.660766995548013,0.71702786377709,1615,12,0.00737553779963122,0.25,1627
"svm","loso","AAML0531",0.23,0.661132736464369,0.717296962182269,1613,14,0.00860479409956976,0.285714285714286,1627
"svm","loso","AAML0531",0.24,0.662431982459455,0.718380062305296,1605,22,0.0135218192993239,0.363636363636364,1627
"svm","loso","AAML0531",0.25,0.663193459195861,0.719122257053292,1595,32,0.0196681007990166,0.4375,1627
"svm","loso","AAML0531",0.26,0.669119561004861,0.724334600760456,1578,49,0.0301167793484942,0.36734693877551,1627
"svm","loso","AAML0531",0.27,0.670765663282314,0.725826972010178,1572,55,0.0338045482483098,0.363636363636364,1627
"svm","loso","AAML0531",0.28,0.672065556640222,0.726982097186701,1564,63,0.0387215734480639,0.380952380952381,1627
"svm","loso","AAML0531",0.29,0.67807788708801,0.73208521626856,1549,78,0.047940995697603,0.346153846153846,1627
"svm","loso","AAML0531",0.3,0.683678169399789,0.736945169712794,1532,95,0.0583896742470805,0.336842105263158,1627
"svm","loso","AAML0531",0.31,0.686359210097399,0.73915900131406,1522,105,0.0645359557467732,0.342857142857143,1627
"svm","loso","AAML0531",0.32,0.68947219167009,0.741699867197875,1506,121,0.0743700061462815,0.363636363636364,1627
"svm","loso","AAML0531",0.33,0.692465118273576,0.744325767690254,1498,129,0.0792870313460357,0.356589147286822,1627
"svm","loso","AAML0531",0.34,0.697644019502032,0.748815165876777,1477,150,0.0921942224953903,0.366666666666667,1627
"svm","loso","AAML0531",0.35,0.704416726410318,0.754458161865569,1458,169,0.103872157344806,0.36094674556213,1627
"svm","loso","AAML0531",0.36,0.709114998511846,0.758477508650519,1445,182,0.111862323294407,0.357142857142857,1627
"svm","loso","AAML0531",0.37,0.717840943131054,0.76594253679047,1427,200,0.122925629993854,0.34,1627
"svm","loso","AAML0531",0.38,0.721493958700137,0.769121813031161,1412,215,0.132145052243393,0.348837209302326,1627
"svm","loso","AAML0531",0.39,0.72698374576596,0.773869346733668,1393,234,0.143822987092809,0.354700854700855,1627
"svm","loso","AAML0531",0.4,0.732000365822987,0.778100072516316,1379,248,0.152427781192379,0.354838709677419,1627
"svm","loso","AAML0531",0.41,0.737149143210967,0.782512858192505,1361,266,0.163491087891825,0.360902255639098,1627
"svm","loso","AAML0531",0.42,0.743804997675872,0.788261515601783,1346,281,0.172710510141364,0.355871886120996,1627
"svm","loso","AAML0531",0.43,0.750597806968917,0.793984962406015,1330,297,0.182544560540873,0.353535353535354,1627
"svm","loso","AAML0531",0.44,0.753397345414017,0.796366389099167,1321,306,0.188076213890596,0.356209150326797,1627
"svm","loso","AAML0531",0.45,0.758049484220202,0.800306044376435,1307,320,0.196681007990166,0.359375,1627
"svm","loso","AAML0531",0.46,0.761555098951011,0.803392444101773,1297,330,0.202827289489859,0.360606060606061,1627
"svm","loso","AAML0531",0.47,0.763765222948896,0.805426356589147,1290,337,0.207129686539644,0.362017804154303,1627
"svm","loso","AAML0531",0.48,0.771596490115865,0.811912225705329,1276,351,0.215734480639213,0.356125356125356,1627
"svm","loso","AAML0531",0.49,0.779080566608503,0.818253968253968,1260,367,0.225568531038722,0.354223433242507,1627
"svm","loso","AAML0531",0.5,0.785605429939805,0.823813354786806,1243,384,0.236017209588199,0.356770833333333,1627
"svm","loso","AAML0531",0.51,0.791783533533126,0.829248366013072,1224,403,0.247695144437615,0.362282878411911,1627
