"outer_fold","class","params","mean_kappa","mean_acc","class_0","class_1"
"100LUMC","0_1","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.250981841023694,0.659003141167775,0,1
"100LUMC","0_10","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.715028334238861,0.88512284871418,0,10
"100LUMC","0_11","{'C': 1000, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.438311153870772,0.924383771687575,0,11
"100LUMC","0_12","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.557140709915692,0.827578390876263,0,12
"100LUMC","0_13","{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.759967130478318,0.90933972073678,0,13
"100LUMC","0_14","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.69496440425507,0.90249099639856,0,14
"100LUMC","0_2","{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.822807466785423,0.913558415790559,0,2
"100LUMC","0_3","{'C': 10, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.812785113360768,0.912461631195808,0,3
"100LUMC","0_4","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.718933372997833,0.902567803353033,0,4
"100LUMC","0_5","{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.320470623677464,0.75484060554393,0,5
"100LUMC","0_6","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.983806022408964,0.997297297297297,0,6
"100LUMC","0_7","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.828684889099968,0.910571653313665,0,7
"100LUMC","0_8","{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.697992140235422,0.843903971845148,0,8
"100LUMC","0_9","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.747793798524377,0.864130434782609,0,9
"100LUMC","10_11","{'C': 100, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.573188467186265,0.86079093799682,10,11
"100LUMC","10_12","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.816967422906566,0.901864801864802,10,12
"100LUMC","10_13","{'C': 1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.918077803203661,0.960902255639098,10,13
"100LUMC","10_14","{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.862032085561497,0.939166666666667,10,14
"100LUMC","11_12","{'C': 100, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.460600245690564,0.757162698412698,11,12
"100LUMC","11_13","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.811996307736003,0.83011583011583,11,13
"100LUMC","11_14","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.879304296989184,0.974615384615385,11,14
"100LUMC","12_13","{'C': 1000, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.715343979540219,0.850739538239538,12,13
"100LUMC","12_14","{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.859876260311641,0.922979797979798,12,14
"100LUMC","13_14","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.979099678456592,0.990384615384615,13,14
"100LUMC","1_10","{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.853230769230769,0.977481617647059,1,10
"100LUMC","1_11","{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.463536463536464,0.941815856777494,1,11
"100LUMC","1_12","{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.86764830904732,0.954512195121951,1,12
"100LUMC","1_13","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.868382771488204,0.964880952380952,1,13
"100LUMC","1_14","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.846136618141097,0.960016835016835,1,14
"100LUMC","1_2","{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.855710725848693,0.947289972899729,1,2
"100LUMC","1_3","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.867830597492739,0.931351321341328,1,3
"100LUMC","1_4","{'C': 1000, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 2000}",0.714098255751511,0.875035126142997,1,4
"100LUMC","1_5","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.52117961498444,0.749950864779874,1,5
"100LUMC","1_6","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.971358428805237,0.985714285714286,1,6
"100LUMC","1_7","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.855694508658834,0.941009478366879,1,7
"100LUMC","1_8","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.812064780244455,0.933452527202527,1,8
"100LUMC","1_9","{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.819611470860314,0.907692307692308,1,9
"100LUMC","2_10","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.883582089552239,0.953846153846154,2,10
"100LUMC","2_11","{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.8,0.977777777777778,2,11
"100LUMC","2_12","{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.933333333333333,0.966666666666667,2,12
"100LUMC","2_13","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.972868217054264,0.988095238095238,2,13
"100LUMC","2_14","{'C': 10, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.9,0.957936507936508,2,14
"100LUMC","2_3","{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.902210527567217,0.96835168343789,2,3
"100LUMC","2_4","{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.887062213329307,0.970722232678754,2,4
"100LUMC","2_5","{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.828972605573666,0.937603046594982,2,5
"100LUMC","2_6","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.990458015267176,0.996875,2,6
"100LUMC","2_7","{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.928879365275891,0.971878833885413,2,7
"100LUMC","2_8","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.91918168137205,0.96161757830762,2,8
"100LUMC","2_9","{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.841346153846154,0.914772727272727,2,9
"100LUMC","3_10","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.788082141864984,0.933790146883126,3,10
"100LUMC","3_11","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.741732258772618,0.973293914757329,3,11
"100LUMC","3_12","{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.893704036226128,0.965745301952198,3,12
"100LUMC","3_13","{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.922962354793182,0.982630272952854,3,13
"100LUMC","3_14","{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.83799583275848,0.942307692307692,3,14
"100LUMC","3_4","{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.92966609417004,0.9722493988521,3,4
"100LUMC","3_5","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.821011753669573,0.914270186335404,3,5
"100LUMC","3_6","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.98234358388554,0.995698567419879,3,6
"100LUMC","3_7","{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.901643633176312,0.959387013350108,3,7
"100LUMC","3_8","{'C': 1000, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.88463499401345,0.944519226638746,3,8
"100LUMC","3_9","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.884831460674157,0.948170731707317,3,9
"100LUMC","4_10","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.783491326759115,0.952357509157509,4,10
"100LUMC","4_11","{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.787418655097614,0.991288566243194,4,11
"100LUMC","4_12","{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.92955401995668,0.990530303030303,4,12
"100LUMC","4_13","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 3000}",0.906221391369906,0.989274989274989,4,13
"100LUMC","4_14","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.825772297000913,0.951496026180458,4,14
"100LUMC","4_5","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.618208345149956,0.901835057306395,4,5
"100LUMC","4_6","{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.982743097238896,0.995652173913044,4,6
"100LUMC","4_7","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.91251321446676,0.97335366535647,4,7
"100LUMC","4_8","{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.870136535883619,0.963815222811551,4,8
"100LUMC","4_9","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.8834626744023,0.966346153846154,4,9
"100LUMC","5_10","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.686491274692178,0.931944444444444,5,10
"100LUMC","5_11","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.482811306340718,0.888376518811301,5,11
"100LUMC","5_12","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.798357014840473,0.94046938152978,5,12
"100LUMC","5_13","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 2000}",0.883266805769754,0.967272727272727,5,13
"100LUMC","5_14","{'C': 10, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.764386562804284,0.940278393966282,5,14
"100LUMC","5_6","{'C': 1, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 2000}",0.93859649122807,0.976190476190476,5,6
"100LUMC","5_7","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.83260092758396,0.934341085271318,5,7
"100LUMC","5_8","{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.726554724038464,0.912842059900884,5,8
"100LUMC","5_9","{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.8014440433213,0.890909090909091,5,9
"100LUMC","6_10","{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.981366459627329,0.990740740740741,6,10
"100LUMC","6_11","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.985725938009788,0.992857142857143,6,11
"100LUMC","6_12","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",1,1,6,12
"100LUMC","6_13","{'C': 1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",1,1,6,13
"100LUMC","6_14","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.900128943869122,0.967234262125903,6,14
"100LUMC","6_7","{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.991571871768356,0.998466257668712,6,7
"100LUMC","6_8","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.991074353095316,0.997706422018349,6,8
"100LUMC","6_9","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",1,1,6,9
"100LUMC","7_10","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.8332460458135,0.930511784511785,7,10
"100LUMC","7_11","{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.751771306744505,0.96810174919931,7,11
"100LUMC","7_12","{'C': 10, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.918211456734205,0.970552248677249,7,12
"100LUMC","7_13","{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.943478260869565,0.980769230769231,7,13
"100LUMC","7_14","{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.860730870179689,0.949358974358974,7,14
"100LUMC","7_8","{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.912667489600121,0.957278669043375,7,8
"100LUMC","7_9","{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.874701670644391,0.933035714285714,7,9
"100LUMC","8_10","{'C': 1000, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.723134960331003,0.910002772002772,8,10
"100LUMC","8_11","{'C': 1000, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.277005039079215,0.813447365642488,8,11
"100LUMC","8_12","{'C': 10, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.619955431875392,0.765903290493118,8,12
"100LUMC","8_13","{'C': 1, 'class_weight': None, 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.838913794713739,0.935810810810811,8,13
"100LUMC","8_14","{'C': 10, 'class_weight': None, 'gamma': 0.01, 'probability': True, 'n_genes': 1000}",0.87123745819398,0.961574074074074,8,14
